 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
15549924,https://www.airbnb.com/rooms/15549924,100078894,Entire rental unit,43.64966,-70.26975,1,1.0,2,4.98,337,236.0,72.0,55719.0,338.0,2,62.0,5.0,Low,Individual,No,No,Yes,No,No,No,0,208
15576040,https://www.airbnb.com/rooms/15576040,12095148,Entire rental unit,43.68094,-70.29139,1,1.0,2,4.47,232,75.0,66.0,10982.0,258.0,1,13.5,2.5,None,Moderate,No,No,No,No,No,No,0,209
15610358,https://www.airbnb.com/rooms/15610358,100007636,Entire guest suite,43.67258,-70.3036,1,1.0,3,5.0,246,139.0,0.0,0.0,365.0,1,0.0,0.0,None,Small,No,No,Yes,No,Yes,No,0,210
15805715,https://www.airbnb.com/rooms/15805715,31579188,Entire rental unit,43.65431,-70.25742,1,1.0,2,4.94,555,275.0,86.0,71688.0,351.0,2,55.5,2.0,Moderate,Small,No,No,Yes,No,No,No,0,211
16004349,https://www.airbnb.com/rooms/16004349,9561033,Entire guest suite,43.4334,-70.45424,1,1.0,3,5.0,63,210.0,41.0,20387.0,249.0,2,9.5,4.0,None,Individual,No,No,Yes,No,No,No,0,212
16161958,https://www.airbnb.com/rooms/16161958,98923130,Entire guest suite,43.67186,-70.28168,1,1.0,2,4.85,232,98.0,65.0,23688.0,347.0,3,50.0,5.0,Low,Individual,No,No,No,No,No,No,0,213
16783115,https://www.airbnb.com/rooms/16783115,41901092,Entire cottage,43.7387,-70.20285,1,1.0,4,4.88,26,299.0,94.0,15448.0,55.0,4,58.0,5.0,None,Individual,No,No,Yes,No,No,No,0,214
16927976,https://www.airbnb.com/rooms/16927976,113085407,Entire rental unit,43.428960000000004,-70.44086,1,1.0,2,4.8,109,200.0,44.0,23556.0,290.0,2,37.0,2.0,None,Individual,No,No,Yes,No,No,No,0,215
17283781,https://www.airbnb.com/rooms/17283781,4744550,Entire rental unit,43.65645,-70.26127,1,1.0,3,4.83,378,194.0,56.0,43228.0,358.0,1,29.0,2.0,Moderate,Small,No,No,Yes,No,No,No,0,216
17542909,https://www.airbnb.com/rooms/17542909,119002398,Entire rental unit,43.37016,-70.47987,1,1.0,5,4.93,58,325.0,100.0,30325.0,100.0,3,2.0,2.0,None,Individual,No,No,Yes,No,No,No,0,217
17587191,https://www.airbnb.com/rooms/17587191,7219240,Entire rental unit,43.35954,-70.48208,1,1.0,2,4.82,318,144.0,70.0,25728.0,275.0,2,102.0,2.0,Low,Individual,No,No,Yes,Yes,No,No,0,218
17667925,https://www.airbnb.com/rooms/17667925,20413638,Entire rental unit,43.65381,-70.25725,1,1.0,2,4.98,586,229.0,65.0,54136.0,357.0,1,41.0,1.0,Moderate,Individual,No,No,Yes,No,No,No,0,219
